id;treatment;genotype;sex;slice;order;CbRegion(vermis_hemispheres);mean;area
15;ctrl;sca;f;4;E;hemispheres;35.695;328198.684
15;ctrl;sca;f;4;F;hemispheres;39.395;504312.700
15;ctrl;sca;f;5;A;vermis;34.928;179006.578
15;ctrl;sca;f;5;B;vermis;31.486;240455.389
15;ctrl;sca;f;5;C;hemispheres;43.227;367928.824
15;ctrl;sca;f;5;D;hemispheres;36.571;160802.834
15;ctrl;sca;f;5;E;hemispheres;38.603;523725.755
15;ctrl;sca;f;5;F;hemispheres;34.708;111433.631
15;ctrl;sca;f;6;A;vermis;35.144;165216.731
15;ctrl;sca;f;6;B;vermis;23.742;290946.197
15;ctrl;sca;f;6;C;hemispheres;35.344;411018.722
15;ctrl;sca;f;6;D;hemispheres;36.608;151516.276
15;ctrl;sca;f;6;E;hemispheres;37.447;509721.707
15;ctrl;sca;f;6;F;hemispheres;38.893;301512.903
15;ctrl;sca;f;7;A;vermis;29.763;301524.709
15;ctrl;sca;f;7;B;vermis;26.375;46036.431
15;ctrl;sca;f;7;C;hemispheres;32.557;346749.874
15;ctrl;sca;f;7;D;hemispheres;32.012;222558.610
15;ctrl;sca;f;7;E;hemispheres;33.851;484958.678
15;ctrl;sca;f;7;F;hemispheres;36.69;424272.221
15;ctrl;sca;f;8;A;vermis;31.366;278045.202
15;ctrl;sca;f;8;B;vermis;30.044;288615.281
15;ctrl;sca;f;8;C;hemispheres;34.406;208004.723
15;ctrl;sca;f;8;D;hemispheres;38.029;351350.987
15;ctrl;sca;f;8;E;hemispheres;35.805;498316.748
15;ctrl;sca;f;8;F;hemispheres;39.863;437917.018
15;ctrl;sca;f;9;A;vermis;26.942;133732.501
15;ctrl;sca;f;9;B;vermis;27.549;262410.187
15;ctrl;sca;f;9;C;hemispheres;36.048;217507.168
15;ctrl;sca;f;9;D;hemispheres;38.994;244916.512
15;ctrl;sca;f;9;E;hemispheres;37.26;434132.231
15;ctrl;sca;f;9;F;hemispheres;43.555;387750.042
15;ctrl;sca;f;10;A;vermis;29.703;174307.640
15;ctrl;sca;f;10;B;vermis;27.866;402454.039
15;ctrl;sca;f;10;C;hemispheres;36.95;339401.248
15;ctrl;sca;f;10;D;hemispheres;39.206;392462.473
15;ctrl;sca;f;10;E;hemispheres;36.137;493629.617
15;ctrl;sca;f;10;F;hemispheres;39.615;630819.700
15;ctrl;sca;f;11;A;vermis;27.544;253245.067
15;ctrl;sca;f;11;B;vermis;27.276;275156.013
15;ctrl;sca;f;11;C;hemispheres;40.342;260332.265
15;ctrl;sca;f;11;D;hemispheres;38.274;578023.275
15;ctrl;sca;f;11;E;hemispheres;39.519;496938.776
15;ctrl;sca;f;11;F;hemispheres;37.397;126297.858
15;ctrl;sca;f;12;A;vermis;32.215;212927.981
15;ctrl;sca;f;12;B;vermis;27.993;284113.679
15;ctrl;sca;f;12;C;hemispheres;32.349;237839.433
15;ctrl;sca;f;12;D;hemispheres;37.35;426436.161
15;ctrl;sca;f;12;E;hemispheres;33.543;343661.663
15;ctrl;sca;f;12;F;hemispheres;33.803;391116.546
15;ctrl;sca;f;13;A;vermis;27.25;243818.519
15;ctrl;sca;f;13;B;vermis;33.167;232882.442
15;ctrl;sca;f;13;C;hemispheres;38.521;317306.460
15;ctrl;sca;f;13;D;hemispheres;36.209;194555.574
15;ctrl;sca;f;13;E;hemispheres;38.867;345048.069
15;ctrl;sca;f;13;F;hemispheres;36.709;498171.698
15;ctrl;sca;f;14;A;vermis;28.021;147265.981
15;ctrl;sca;f;14;B;vermis;33.165;158891.887
15;ctrl;sca;f;14;C;hemispheres;37.622;235017.710
15;ctrl;sca;f;14;D;hemispheres;32.723;232221.285
18;ctrl;sca;m;2;C;hemispheres;33.874;197515.601
18;ctrl;sca;m;2;D;hemispheres;43.229;447024.793
18;ctrl;sca;m;2;E;hemispheres;40.076;354246.922
18;ctrl;sca;m;2;F;hemispheres;25.205;317439.703
18;ctrl;sca;m;3;A;vermis;24.123;208915.500
18;ctrl;sca;m;3;B;vermis;25.741;343751.054
18;ctrl;sca;m;3;C;hemispheres;39.539;375687.300
18;ctrl;sca;m;3;D;hemispheres;32.028;249232.586
18;ctrl;sca;m;3;E;hemispheres;33.629;370993.422
18;ctrl;sca;m;3;F;hemispheres;25.009;368664.193
18;ctrl;sca;m;4;C;hemispheres;35.754;282612.582
18;ctrl;sca;m;4;D;hemispheres;31.986;279048.743
18;ctrl;sca;m;4;E;hemispheres;32.708;357154.664
18;ctrl;sca;m;4;F;hemispheres;37.691;123987.182
18;ctrl;sca;m;5;A;vermis;19.659;205493.338
18;ctrl;sca;m;5;B;vermis;28.841;256677.349
18;ctrl;sca;m;5;C;hemispheres;35.159;308348.794
18;ctrl;sca;m;5;D;hemispheres;27.621;259035.250
18;ctrl;sca;m;5;E;hemispheres;36.372;319394.502
18;ctrl;sca;m;5;F;hemispheres;33.905;224376.792
18;ctrl;sca;m;6;A;vermis;24.904;255790.184
18;ctrl;sca;m;6;B;vermis;32.129;225953.786
18;ctrl;sca;m;6;C;hemispheres;34.887;422521.504
18;ctrl;sca;m;6;D;hemispheres;34.606;379701.467
