hist_id,slice,side,part ID,structure,area,psa_ncam
6370,5,l,1,DG PL hilus,35633,10.915
6370,5,l,1,DG-ML,32535,12.066
6370,5,p,1,CA1 SLM,11348,10.337
6370,5,p,1,CA4 pyr,16520,10.818
6370,5,p,1,DG PL hilus,33039,13.599
6370,5,p,1,DG-ML,21506,12.378
6370,6,l,,CA1 SLM,18670,12.558
6370,6,l,,CA4 pyr,8720,9.099
6370,6,l,,DG PL hilus,22845,13.571
6370,6,l,,DG-ML,25905,12.798
6370,6,p,,CA1 SLM,20982,10.405
6370,6,p,,CA4 pyr,16851,10.868
6370,6,p,,DG PL hilus,31547,10.959
6370,6,p,,DG-ML,24489,11.658
6370,7,l,,CA1 SLM,12727,11.071
6370,7,l,,CA4 pyr,11364,10.072
6370,7,l,,DG PL hilus,27028,10.54
6370,7,l,,DG-ML,32206,11.012
6370,7,p,,CA1 SLM,25116,12.129
6370,7,p,,CA4 pyr,15876,9.343
6370,7,p,,DG PL hilus,32427,11.967
6370,7,p,,DG-ML,43991,11.852
6370,8,l,,CA1 SLM,22408,9.787
6370,8,l,,CA4 pyr,13210,9.622
6370,8,l,,DG PL hilus,28981,12.125
6370,8,l,,DG-ML,44578,11.205
6370,8,p,,CA1 SLM,23690,9.216
6370,8,p,,CA4 pyr,25178,9.922
6370,8,p,,DG PL hilus,43705,11.767
6370,8,p,,DG-ML,36460,10.959
6370,9,l,,CA1 SLM,24537,9.902
6370,9,l,,CA4 pyr,24962,9.015
6370,9,l,,DG PL hilus,62906,11.794
6370,9,l,,DG-ML,49639,10.381
6370,9,p,,CA1 SLM,25129,8.999
6370,9,p,,CA4 pyr,18460,10.914
6370,9,p,,DG PL hilus,72328,11.57
6370,9,p,,DG-ML,44453,10.318
6370,10,l,,CA1 SLM,40900,9.149
6370,10,l,,CA4 pyr,28986,11.169
6370,10,l,,DG PL hilus,35353,10.217
6370,10,l,,DG-ML,42522,10.297
6370,10,p,,CA1 SLM,41343,8.099
6370,10,p,,CA4 pyr,18585,10.239
6370,10,p,,DG PL hilus,77716,12.664
6370,10,p,,DG-ML,27504,10.163
6370,11,l,,CA1 SLM,X,X
6370,11,l,,CA4 pyr,X,X
6370,11,l,,DG PL hilus,21449,12.766
6370,11,l,,DG-ML,29933,9.574
6370,11,p,,CA1 SLM,22854,8.959
6370,11,p,,CA4 pyr,X,X
6370,11,p,,DG PL hilus,55473,12.499
6370,11,p,,DG-ML,39838,10.55
6370,12 - control,l,,CA1 SLM,36672,10.793
6370,12 - control,l,,CA4 pyr,11031,9.989
6370,12 - control,l,,DG PL hilus,25639,12.555
6370,12 - control,l,,DG-ML,28379,13.143
6370,12 - control,p,,CA1 SLM,19956,11.779
