id mito,id,sex,genotype,treatment,normalisation,region,Sample,M_plus_G,D,c,P,S,Fccp,Rot,Ama,As/Tm,Azd,C_iv,b,out,out_susp
EM128,83,f,wt,ctrl,cs,cerebellum,218.8597895,629.1467368,2946.500842,3272.589474,4814.775789,9505.014947,11650.20379,5054.142947,0,28542.17684,5161.178526,23380.99832,,,
EM151,95,f,wt,ctrl,cs,cerebellum,0,844.8351628,3361.236837,3621.797023,6079.266419,10946.4787,13917.77191,5513.066791,350.1873488,27406.98251,4603.947907,22803.0346,,,
EM152,95,f,wt,ctrl,cs,cerebellum,0,840.1832727,3069.884727,3259.549091,5069.520545,9757.412727,12225.33982,5257.293273,281.5478182,32551.65873,6169.442182,26382.21655,,,
EM35,34,f,sca,ctrl,cs,cerebellum,375.8983333,782.6516667,2210.204,2377.081667,2616.039333,6341.464667,7441.806667,3344.245667,0,23928.00433,3611.485667,20316.51867,,,
EM36,34,f,sca,ctrl,cs,cerebellum,357.7974545,806.5850909,2210.729455,2233.713455,2548.3,5813.128364,7259.160727,2996.191273,0,22629.50982,4139.790545,18489.71927,,,
EM63,57,f,sca,ctrl,cs,cerebellum,59.16503704,844.5398519,4615.880296,4886.661333,6899.87437,12178.51793,15027.82874,5773.582815,0,31122.54222,4397.162074,26725.38015,,,
EM64,57,f,sca,ctrl,cs,cerebellum,98.49340541,592.6585946,3066.013405,3240.078703,4931.756973,8802.383135,10972.92108,4164.783135,0,23339.95978,3171.336216,20168.62357,,,
EM75,60,f,sca,ctrl,cs,cerebellum,178.99725,508.5465,3403.638,3776.89425,5848.629,10623.64425,13347.4905,5262.21825,0,31074.8865,5170.44375,25904.44275,,,
EM76,60,f,sca,ctrl,cs,cerebellum,0,553.486,3280.252,3507.134,5650.958667,9655.082,12229.00667,4613.018,105.2753333,32904.36133,5687.644667,27216.71667,,,
EM111,73,f,sca,ctrl,cs,cerebellum,203.0933333,526.4197333,2029.373867,2278.634667,2861.8752,7071.002667,9157.9408,3950.781867,0,17699.27573,3083.183467,14616.09227,,,
EM112,73,f,sca,ctrl,cs,cerebellum,327.76,760.1153333,2029.165333,2248.170667,2850.412667,6965.727333,9225.979333,3818.007333,0,26883.8,5359.352,21524.448,,,
EM123,77,f,sca,ctrl,cs,cerebellum,0,602.63232,2358.648,2652.63648,3743.28576,9595.94784,11543.07072,5670.18816,61.1184,27598.78464,5517.3024,22081.48224,,,
EM124,77,f,sca,ctrl,cs,cerebellum,274.2213333,755.5857778,2462.431111,2918.303111,3950.316444,9800.069333,12077.72178,5619.610667,0,35549.11556,6954.420444,28594.69511,,,
EM47,43,f,sca,eda,cs,cerebellum,246.2506667,608.2423704,2405.870222,2588.271407,3217.115259,8073.01037,11016.49363,4520.31763,0,26046.73007,4849.528296,21197.20178,,,
EM48,43,f,sca,eda,cs,cerebellum,166.09,727.6226667,2725.020667,3035.123333,3593.358,8228.940667,11570.24533,4571.447333,0,28931.26867,5332.016,23599.25267,,,
EM59,56,f,sca,eda,cs,cerebellum,34.14103704,401.0891852,2502.510815,2712.112,3529.260444,7198.97363,9053.499852,3821.640296,0,20783.70133,3681.650963,17102.05037,,,
EM60,56,f,sca,eda,cs,cerebellum,34.0647619,487.3333333,2109.36,2472.233905,3338.30781,7717.028571,10037.69371,4195.587048,0,27872.33219,5614.364952,22257.96724,,,
EM71,59,f,sca,eda,cs,cerebellum,0,498.4614737,2877.373474,3356.852211,3860.653474,6775.763368,10173.47284,4578.003368,356.3343158,31936.32168,6480.872421,25455.44926,,,
EM72,59,f,sca,eda,cs,cerebellum,0,775.7010526,3408.890105,3919.877895,4616.570105,7106.143158,10848.56253,4700.317474,165.7482105,37247.55116,6739.959579,30507.59158,,,
EM83,62,f,sca,eda,cs,cerebellum,135.6866087,771.3062609,3579.277565,3995.295652,6006.38087,10940.14748,14029.52348,5129.58,0,31241.34939,4516.010087,26725.3393,,,
EM84,62,f,sca,eda,cs,cerebellum,5.333142857,709.3881429,3181.161429,3411.346286,4931.976857,7705.291286,11130.50957,3902.687571,0,33440.84571,4547.065286,28893.78043,,,
EM95,66,f,sca,eda,cs,cerebellum,14.80085106,474.2956596,1905.498894,2033.159489,3084.106723,7378.758128,8778.779745,4383.638809,0,24219.46162,3748.382809,20471.07881,,,
EM96,66,f,sca,eda,cs,cerebellum,36.7914,554.064,2073.7824,2280.3426,3442.2654,8060.9784,9837.798,4618.6722,0,31512.6348,5282.631,26230.0038,,,
EM7,2,m,wt,ctrl,cs,cerebellum,326.7421935,1026.835097,3990.792774,3837.946323,5272.000516,10991.23045,13727.41006,5293.356903,0,58371.19123,10623.07406,47748.11716,,,
EM8,2,m,wt,ctrl,cs,cerebellum,390.4867097,1163.914323,4207.208258,4041.841032,5658.933677,11502.0289,13751.00387,5453.187613,0,57565.34297,11487.40232,46077.94065,,,
EM23,6,m,wt,ctrl,cs,cerebellum,283.3877333,848.2410667,2775.061867,2832.562667,3655.8976,9055.079467,11860.60533,4934.932267,0,44073.2752,9582.895467,34490.37973,,,
EM24,6,m,wt,ctrl,cs,cerebellum,281.6436364,974.1803636,3169.096727,3274.830545,4262.042182,10565.28364,13850.648,5785.254545,0,56314.064,13484.14036,42829.92364,,,
EM31,22,m,wt,ctrl,cs,cerebellum,285.2494222,673.1516444,1335.163378,1186.337067,5295.126756,10141.21778,11919.43289,4297.188978,0,39732.98631,6290.755556,33442.23076,,,
EM32,22,m,wt,ctrl,cs,cerebellum,245.8052174,665.6667826,1084.52313,943.2013913,3217.97287,7067.009391,8266.422957,2848.18887,0,29380.80139,8227.325913,21153.47548,,,
EM103,70,m,wt,ctrl,cs,cerebellum,151.4562162,545.2644324,2133.046054,2358.217946,3057.904865,7743.189405,9543.671351,4509.976865,0,27354.58054,5306.414919,22048.16562,,,
EM104,70,m,wt,ctrl,cs,cerebellum,0,291.9648,1680.195,1914.2136,2505.8748,6839.3856,8677.3848,3900.4494,15.1368,29282.5578,5301.246,23981.3118,,,
EM107,71,m,wt,ctrl,cs,cerebellum,0,409.071,1584.584571,1812.605571,2842.332,6084.263571,7739.242714,3216.460714,6.571714286,19084.44771,3039.563571,16044.88414,,,
EM108,71,m,wt,ctrl,cs,cerebellum,191.4520755,555.8884528,1924.281962,2223.469132,3066.019925,6859.526943,8797.650113,3538.660981,0,22492.03925,3863.698415,18628.34083,,,
EM11,3,m,wt,eda,cs,cerebellum,206.006,712.623,3366.7225,3473.355,5048.4645,10104.6895,12745.155,4835.021,0,41321.764,9948.808,31372.956,,,
EM12,3,m,wt,eda,cs,cerebellum,413.2507826,1037.301565,4218.755478,4190.266435,5765.64313,11756.78609,14481.22087,5853.972174,0,59962.23443,14407.85183,45554.38261,,,
EM15,4,m,wt,eda,cs,cerebellum,194.1491892,502.7295135,2208.647351,2276.934054,3262.096,6924.259892,8346.672865,3432.698811,0,33417.07459,8442.358054,24974.71654,,,
EM16,4,m,wt,eda,cs,cerebellum,235.6092632,688.0884211,2873.050105,3107.972211,4006.259368,8612.293053,10985.36421,4737.452632,0,61019.99326,18978.24168,42041.75158,,,
EM27,17,m,wt,eda,cs,cerebellum,336.2511304,865.5158261,3241.199304,3344.441043,4930.993391,10768.34991,13074.64974,5368.097391,0,50634.81043,13498.30748,37136.50296,,,
EM28,17,m,wt,eda,cs,cerebellum,435.7304,824.908,3387.1344,3401.6864,4356.76,9886.2616,12701.2848,5405.32,0,59718.3752,15889.4104,43828.9648,,,
EM39,35,m,wt,eda,cs,cerebellum,468.4581818,820.7723636,1949.213818,2109.100364,2251.48,5872.665455,7574.779636,3395.746909,0,29055.448,7354.2,21701.248,,,
EM40,35,m,wt,eda,cs,cerebellum,732.088,1250.5608,3086.86,3323.024,3747.9152,8636.7616,11219.3744,4509.284,0,32679.6984,7250.5272,25429.1712,,,
EM43,42,m,wt,eda,cs,cerebellum,220.4766061,693.4928485,2362.303515,2552.538667,2855.909333,7239.939394,9714.900364,4249.060364,0,22986.49745,4034.988121,18951.50933,,,
EM44,42,m,wt,eda,cs,cerebellum,380.7155862,860.4297931,2726.481103,2953.601103,3195.971862,7878.245517,11299.87421,4558.616828,0,32831.5349,5966.123034,26865.41186,,,
EM55,55,m,wt,eda,cs,cerebellum,254.9581538,841.0344615,2280.856,2548.336615,3154.258462,8647.068308,10741.96,5086.180308,0,33567.81292,5461.508923,28106.304,,,
EM56,55,m,wt,eda,cs,cerebellum,354.4273333,868.088,1991.062667,2388.964667,2764.574,8264.708667,10363.90267,5308.465333,0,33441.86733,5958.602,27483.26533,,,
