id,treatment,genotype,sex,day,session,rot_latency,pre_post
102,ctrl,wt,m,2,2,168.2,pre
102,ctrl,wt,m,2,3,195.3,pre
102,ctrl,wt,m,2,4,173.7,pre
102,ctrl,wt,m,3,1,138,pre
102,ctrl,wt,m,3,2,189.9,pre
102,ctrl,wt,m,3,3,227.9,pre
102,ctrl,wt,m,3,4,215.1,pre
103,ctrl,wt,m,1,1,39.4,pre
103,ctrl,wt,m,1,2,145.3,pre
103,ctrl,wt,m,1,3,111.2,pre
103,ctrl,wt,m,1,4,108.5,pre
103,ctrl,wt,m,2,1,70.3,pre
103,ctrl,wt,m,2,2,149.2,pre
103,ctrl,wt,m,2,3,148.7,pre
103,ctrl,wt,m,2,4,123.9,pre
103,ctrl,wt,m,3,1,166.6,pre
103,ctrl,wt,m,3,2,180.1,pre
103,ctrl,wt,m,3,3,173.1,pre
103,ctrl,wt,m,3,4,141,pre
104,ctrl,sca,m,1,1,95.9,pre
104,ctrl,sca,m,1,2,91.5,pre
104,ctrl,sca,m,1,3,118.7,pre
104,ctrl,sca,m,1,4,93.4,pre
104,ctrl,sca,m,2,1,67.4,pre
104,ctrl,sca,m,2,2,157.1,pre
104,ctrl,sca,m,2,3,183.1,pre
104,ctrl,sca,m,2,4,215.2,pre
104,ctrl,sca,m,3,1,142.5,pre
104,ctrl,sca,m,3,2,242.1,pre
104,ctrl,sca,m,3,3,182.1,pre
104,ctrl,sca,m,3,4,173.7,pre
105,eda,wt,m,1,1,119.9,pre
105,eda,wt,m,1,2,147.9,pre
105,eda,wt,m,1,3,123.1,pre
105,eda,wt,m,1,4,135.9,pre
105,eda,wt,m,2,1,175.7,pre
105,eda,wt,m,2,2,184.9,pre
105,eda,wt,m,2,3,130.1,pre
105,eda,wt,m,2,4,123.6,pre
105,eda,wt,m,3,1,102.5,pre
105,eda,wt,m,3,2,182.8,pre
105,eda,wt,m,3,3,171.3,pre
105,eda,wt,m,3,4,98.8,pre
106,ctrl,sca,f,1,1,33.6,pre
106,ctrl,sca,f,1,2,132.1,pre
106,ctrl,sca,f,1,3,147.2,pre
106,ctrl,sca,f,1,4,110.3,pre
106,ctrl,sca,f,2,1,110.1,pre
106,ctrl,sca,f,2,2,105.9,pre
106,ctrl,sca,f,2,3,113.2,pre
106,ctrl,sca,f,2,4,72.2,pre
106,ctrl,sca,f,3,1,138.5,pre
106,ctrl,sca,f,3,2,126.9,pre
106,ctrl,sca,f,3,3,143.5,pre
106,ctrl,sca,f,3,4,130.1,pre
107,eda,sca,f,1,1,106.6,pre
107,eda,sca,f,1,2,131.6,pre
107,eda,sca,f,1,3,170,pre
107,eda,sca,f,1,4,191.9,pre
107,eda,sca,f,2,1,227.2,pre
107,eda,sca,f,2,2,212.1,pre
107,eda,sca,f,2,3,201.3,pre
107,eda,sca,f,2,4,159.5,pre
107,eda,sca,f,3,1,155.5,pre
107,eda,sca,f,3,2,172.5,pre
107,eda,sca,f,3,3,147.3,pre
107,eda,sca,f,3,4,205.8,pre
109,eda,wt,f,1,1,196.4,pre
109,eda,wt,f,1,2,209.7,pre
109,eda,wt,f,1,3,130.4,pre
109,eda,wt,f,1,4,202.3,pre
109,eda,wt,f,2,1,142,pre
109,eda,wt,f,2,2,171.8,pre
109,eda,wt,f,2,3,139.9,pre
109,eda,wt,f,2,4,151.7,pre
109,eda,wt,f,3,1,94.2,pre
109,eda,wt,f,3,2,152.4,pre
109,eda,wt,f,3,3,121.6,pre
109,eda,wt,f,3,4,129.1,pre
110,ctrl,sca,f,1,1,16.2,pre
110,ctrl,sca,f,1,2,52.3,pre
110,ctrl,sca,f,1,3,136.9,pre
110,ctrl,sca,f,1,4,112.1,pre
110,ctrl,sca,f,2,1,90.3,pre
110,ctrl,sca,f,2,2,22.4,pre
110,ctrl,sca,f,2,3,107.7,pre
110,ctrl,sca,f,2,4,90.9,pre
110,ctrl,sca,f,3,1,54.4,pre
