id;treatment;genotype;sex;slice;order;CbRegion(vermis_hemispheres);mean;area
18;ctrl;sca;m;7;F;hemispheres;11.669;120968.123
18;ctrl;sca;m;8;A;vermis;14.028;90995.109
18;ctrl;sca;m;8;B;vermis;11.515;64845.674
18;ctrl;sca;m;8;C;hemispheres;11.656;68976.219
18;ctrl;sca;m;8;D;hemispheres;10.313;62680.047
18;ctrl;sca;m;8;E;hemispheres;17.664;75021.083
18;ctrl;sca;m;8;F;hemispheres;13.464;64754.596
18;ctrl;sca;m;9;A;vermis;11.400;48711.418
18;ctrl;sca;m;9;B;vermis;9.976;61349.300
18;ctrl;sca;m;9;C;hemispheres;17.795;45766.571
18;ctrl;sca;m;9;D;hemispheres;13.501;79347.276
18;ctrl;sca;m;9;E;hemispheres;11.269;97765.222
18;ctrl;sca;m;9;F;hemispheres;13.574;68428.065
18;ctrl;sca;m;10;A;vermis;12.956;63879.238
18;ctrl;sca;m;10;B;vermis;14.539;134987.350
18;ctrl;sca;m;10;C;hemispheres;18.786;50753.921
18;ctrl;sca;m;10;D;hemispheres;17.119;110274.920
18;ctrl;sca;m;10;E;hemispheres;17.544;71910.946
18;ctrl;sca;m;10;F;hemispheres;14.142;92175.746
18;ctrl;sca;m;11;A;vermis;14.106;91003.542
18;ctrl;sca;m;11;B;vermis;11.061;38304.942
18;ctrl;sca;m;11;C;hemispheres;13.227;41556.755
18;ctrl;sca;m;11;D;hemispheres;13.758;106456.401
18;ctrl;sca;m;11;E;hemispheres;18.206;122511.385
18;ctrl;sca;m;12;A;vermis;15.588;36547.478
18;ctrl;sca;m;12;B;vermis;10.455;46835.891
18;ctrl;sca;m;12;C;hemispheres;16.035;69478.833
18;ctrl;sca;m;12;D;hemispheres;29.990;63351.324
18;ctrl;sca;m;12;E;hemispheres;21.195;109843.144
18;ctrl;sca;m;12;F;hemispheres;17.154;54751.223
18;ctrl;sca;m;13;A;vermis;14.284;192732.333
18;ctrl;sca;m;13;B;vermis;15.577;42233.092
18;ctrl;sca;m;13;C;hemispheres;19.062;22895.935
18;ctrl;sca;m;13;D;hemispheres;15.718;52029.010
18;ctrl;sca;m;13;E;hemispheres;23.476;46633.496
18;ctrl;sca;m;13;F;hemispheres;13.996;52013.830
18;ctrl;sca;m;14;A;vermis;18.371;82148.760
18;ctrl;sca;m;14;B;vermis;13.882;51971.665
18;ctrl;sca;m;14;C;hemispheres;
18;ctrl;sca;m;14;D;hemispheres;20.980;39520.998
18;ctrl;sca;m;14;E;hemispheres;18.252;36952.269
18;ctrl;sca;m;15;A;vermis;19.766;38205.431
19;eda;sca;f;1;C;hemispheres;28.994;18123.000
19;eda;sca;f;1;D;hemispheres;22.925;52741.000
19;eda;sca;f;1;E;hemispheres;17.643;13290.000
19;eda;sca;f;2;A;vermis;18.591;25906.561
19;eda;sca;f;2;B;vermis;14.978;58402.766
19;eda;sca;f;2;C;hemispheres;22.338;44292.461
19;eda;sca;f;2;D;hemispheres;20.333;71499.410
19;eda;sca;f;2;E;hemispheres;21.412;65962.220
19;eda;sca;f;2;F;hemispheres;21.245;63191.095
19;eda;sca;f;3;A;vermis;14.770;72578.850
19;eda;sca;f;3;B;vermis;14.140;44039.467
19;eda;sca;f;3;C;hemispheres;17.358;72344.409
19;eda;sca;f;3;D;hemispheres;17.592;72477.652
19;eda;sca;f;3;E;hemispheres;21.891;63988.868
19;eda;sca;f;3;F;hemispheres;25.719;63481.194
19;eda;sca;f;4;A;vermis;16.340;54616.293
19;eda;sca;f;4;B;vermis;16.285;57267.667
19;eda;sca;f;4;C;hemispheres;17.804;70102.884
19;eda;sca;f;4;D;hemispheres;21.582;70919.211
19;eda;sca;f;4;E;hemispheres;19.374;66781.919
19;eda;sca;f;4;F;hemispheres;20.930;70694.890
19;eda;sca;f;5;A;vermis;16.993;74852.420
19;eda;sca;f;5;B;vermis;13.819;240158.543
19;eda;sca;f;5;C;hemispheres;17.518;49902.176
19;eda;sca;f;5;D;hemispheres;18.128;102543.431
19;eda;sca;f;5;E;hemispheres;18.746;36962.388
19;eda;sca;f;5;F;hemispheres;19.415;37451.510
19;eda;sca;f;6;A;vermis;15.948;44292.461
19;eda;sca;f;6;B;vermis;15.886;35184.685
19;eda;sca;f;6;C;hemispheres;17.845;42838.590
19;eda;sca;f;6;D;hemispheres;20.027;139333.783
19;eda;sca;f;6;E;hemispheres;15.439;54090.066
19;eda;sca;f;6;F;hemispheres;17.833;102034.070
19;eda;sca;f;7;A;vermis;16.807;56623.377
19;eda;sca;f;7;B;vermis;16.352;45336.482
19;eda;sca;f;7;C;hemispheres;17.979;72609.209
19;eda;sca;f;7;D;hemispheres;21.018;129266.318
19;eda;sca;f;7;E;hemispheres;17.607;53206.274
19;eda;sca;f;7;F;hemispheres;19.295;81813.122
19;eda;sca;f;8;A;vermis;14.694;66716.141
